"Algorithm","Hash","Path"
"SHA256","B8F71EF77C81E6EECC26B0FC727702025E2989A7102832C1C99F230CA03E3F5B","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","C2AE04ADEA222B5C2B5591F4442A28C89C489DB661638D4ED4E2889C6438C0CE","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","F6A3EB7707EC7459496D9740A6549DFA1E1A2FCF23CD25788799ACAF87A1B00F","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","A118A8C2E348925CF5118F0118F2D8231E557C84F2A639A5F620CA48FD5635C8","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","95FDC81E9BB444AC2A41ADD2CC9B3FD5F7DA03026784CE8E7CA73D436B72A84D","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","EBF68DB1D9EC25B152DB4055CB8C9EFB545F35AEBE74D974D0D28B254CA7F4C3","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","7159E1C25EE2CCE1AF5C4F4429A6531AAEF5A6491509EB3308EC035B675A74F3","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","68EC9F4D000D0FB274CA26A55E117883317A4F47CE4345E962945E37FD341C27","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","97695A7CBDF8A6832FE20C9F49190BC5FCC1D3E6C04D3DA0767C7FCF1C0244D1","C:\LAB3\Evidence\eicar_write_error.txt"
"SHA256","6A6D3BEF3E6715E242843F6E211DA8D227C9FDE07A024946796800870ECB0CD5","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","764D5C09B80E8674E34A2FBE4F790F57EA1E079C7B03747BF42CFC46147CA4E9","C:\LAB3\Evidence\start_time.txt"
"SHA256","943403809F22DC1F41C186771F3B3344B3B67B724126958127666EC2D95CDC08","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
